name,description,address
Biercarft Tap & Tapas Bar,Biercraft's first location in their Belgium beer themed restaurant chain.,1191 Commercial Dr. Vancouver BC
The Whip Restaurant Gallery,Enjoy french westcoast fusion cuisine in a loft style modern gallery restaurant!,209 East 6th Ave Vancouver BC
Frasers Bistro & Lounge,Great food Great service in the neighbourhood.,408 - 16033 108 Avenue Surrey BC
Diva at the Met Restaurant,Diva at the Met combines an unique generous splash of Pacific Northwest flavours in an elegant yet casual ambience.,645 Howe Street Vancouver BC
The Lamplighter Public House,Located in the heart of Gastown. The Lamplighter Public House always has something going on.,92 Water Street Vancouver BC
The Metropole Community Pub,The Metropole in Gastown features local DJ's and plenty of TV's for the sports fans.,320 Abbott St Vancouver BC
Library Square Public House,Located close to GM Place. Library Square Public House is a great place to go before and after the game.,300 West Georgia Street Vancouver BC
Cinema Public House,Cinema Public House is the newest addition to the Donnelley Pub Group. Cinema replaces the old Centro restaurant space on Granville Street.,901 Granville Street Vancouver BC
White Spot (Mission),This White Spot is located in Mission on London Avenue.,152-32555 London Ave Mission BC
White Spot (Chilliwack),This White Spot location is in Chilliwack.,45373 Luckakuck Way Chilliwack BC
Darcy's Pub,Darcy's Pub is the place in Victoria for live music and good times.,1127 Wharf St Victoria BC
Kingston Taphouse & Grille,The perfect downtown location for any event,755 Richards Street Vancouver BC
The Mountain Shadow Pub,Popular North Burnaby pub with a ski-chalet theme offers excellent dining choices.,7174 Barnet Road Burnaby BC
Garrison Bistro,Local Fare and Urban Flavour,#6 - 45555 Market Way Chilliwack BC
Rustica's Ristorante Italiano,Next time you are in Chilliwack please visit Rustica's Ristortante.,9339 Main Street Chilliwack BC
White Spot (Surrey Panorama),Panaroma neighbourhood in in Surrey is where this White Spot is located.,116-15157 #10 Hwy Surrey BC
White Spot (White Rock),This White Spot is located in the small suburb of White Rock.,1681 152nd Street White Rock BC
Hooker's Green,Hooker's Green is the newest creation from the Donnelly Group.,1141 Hamilton Street Vancouver BC
White Spot (Richmond Centre),This White Spot is located in the Richmond Centre.,1902 No 3 Road Richmond BC
White Spot (Marine Drive),Drop by the Marine Drive White Spot for your next meal.,1126 S.E. Marine Drive Vancouver BC
White Spot (Metrotown),This White Spot is located in Burnaby at Metrotown shopping mall.,5550 Kingsway Burnaby BC
White Spot (Lonsdale),This White Spot is located on Lonsdale Street in North Vancouver.,2205 Lonsdale North Vancouver BC
White Spot (Cambie St),Drop by the Cambie White Spot to try Melissa Craig's new menu items.,2850 Cambie Street Vancouver BC
White Spot (West Vancouver),This White Spot is located on Marine Drive in West Vancouver.,752 Marine Drive West Vancouver BC
White Spot (North Road),This White Spot restaurant is located on North Road in Burnaby.,4075 North Road Burnaby BC
White Spot (Airport),Located at the Vancouver International Airport. Why not have a famous burger before you fly?,3380 Grant McConachie Richmond BC
White Spot (Whistler),The beautiful city of Whistler is where this White Spot is located.,4005 Whistler Way Whistler BC
White Spot (Gilmore St),This White Spot is located in Burnaby at the corner of Gilmore and Lougheed Highway.,4129 Lougheed Hwy Burnaby BC
White Spot (Aldergrove),This White Spot is located in the town of Aldergrove.,3070 264th Street Aldergrove BC
White Spot (Burnaby),This White Spot is located in Burnaby close to Marine and Byrne.,7519 Market Crossing Burnaby BC
Harrison Hot Springs Resort and Spa,A dream getaway in the beautiful Fraser Valley.,100 Esplande Avenue Harrison Hot Springs BC
Monk Mcqueens (CLOSED),Fresh seafood and oyster bar live jazz and dancing at this popular upscale False Creek restaurant.,601 Stamps Landing Vancouver BC
Howie's bistro and bar (CLOSED),Howie's is the place in North Burnaby.,2830 Bainbridge Avenue Burnaby BC
Bela Candela (CLOSED),Yaletown in the heart of North Shore's LoLo district features North Vancouver and Vancouver's Best Award-winning Pizza and Latin-inspired Menu.,109 West Esplanade North Vancouver BC
Omnitsky Kosher Deli,Great Kosher deli located across from Oakridge Mall.,5866 Cambie Street Vancouver BC
The Dirty Apron Deli,The owners of Chambar and Cafe Medina have added a deli to their Dirty Apron Cooking school.,540 Beatty Street Vancouver BC
Dundarave Fish Market,You know your on the hot spot when your at the Dundarave Fish Market!!,2423 Marine Drive West Vancouver BC
Dunn's Famous Smoked Meat Restaurant,Dunn's Famous Smoked Meat Restaurant & Delicatessen an iconic Montreal dining spot is now open in downtown Vancouver,827 Seymour Street Vancouver BC
Safeway Deli Department,The panini sandwiches are their best kept secret.,4440 Hastings Street Burnaby BC
Liliana's Meal,Small family-style cafe offers delicious and reasonably-priced pastas sandwiches and home-made cheesecakes.,8 - 5901 Broadway Burnaby BC
White Spot (Coquitlam),This White Spot is located in Port Coquitlam.,2310 Ottawa Street Coquitlam BC
White Spot (Tsawwassen),This Whit Spot is located in beautiful Tsawwassen.,1199 56th Street Tsawwassen BC
The Palmer Room,After a round of golf enjoy a spectacular view and fine dining at The Palmer Room.,6857-168th Street Surrey BC
Horizons Restaurant,Fine dining with a fantastic view atop Burnaby Mountain. Recently renovated.,100 Centennial Way (on Burnaby Mountain) Burnaby BC
Bridges,A luxurious look inside and views of Granville Island's waterfront outside.,1696 Duranleau Street Vancouver BC
Boathouse Restaurant (Port Moody),Located on the waterfront at picturesque Rocky Point Park with dramatic views of Burrard inlet and Seymour Mountain.,2770 Esplande Ave Port Moody BC
White Spot (Coast Hotel),This White Spot is located in the Coast Hotel close to the airport and a quick drive to downtown.,1041 SW Marine Drive Vancouver BC
Hawksworth Restaurant,Located in the Rosewood Hotel Georgia Hawksworth Restaurant is the most anticipated new restaurant to open in Vancouver. Chef David Hawksworth and his team will be sure to cater to your culinary needs.,801 West Georgia Street Vancouver BC
ABODE Restaurant,Vancouver's dynamic new entry into the restaurant scene,1223 Robson Street Vancouver BC
Oru at the Fairmont Pacific Rim,Located in the Fairmont Pacific Rim Hotel Oru will dazzle you with its Pan-Asian cuisine.,1038 Canada Place Vancouver BC
Jazz Cellar Restaurant and Jazz Club,Live jazz music hotspot for dinner and shows nightly.,3611 W Broadway Vancouver BC
Capones Restaurant and Live Jazz Club (CLOSED),Great jazzy location in the heart of Yaletown.,1141 Hamilton Street Vancouver BC
Park Crest Diner,1950's style diner food at very reasonable prices in this honestly unassuming family-run restaurant.,#16 - 5901 Broadway Burnaby BC
Anton's Pasta Bar,Popular Burnaby spot for loyal carb-crazed fans.,4260 East Hastings St Burnaby BC
Sushi Town,Generous portions for seafood addicts.,5935 East Hastings Burnaby BC
Cupcakes,Located in the heart of the West end. Cupcakes is home to the prettiest cupcakes in Vancouver.,1116 Denman Street Vancouver BC
Kam Mun Bakery Ltd.,Small Chinese bakery offers a good selection of tasty treats.,#1 - 5901 Broadway Burnaby BC
Calhouns Cafe,Great selection of prepared deli-style meals and made-to-order sandwiches. Popular student and traveller hangout WIFI open 24 hours.,3035 West Broadway Vancouver BC
Boulangerie La Parisienne,A liitle piece of Paris in Yaletown.,1076 Mainland Street Vancouver BC
Cob's Bread Kerrisdale,Amazing bread and cinammon buns.,2174 West 41st Ave Vancouver BC
White Spot (West Broadway),Consistent service and quality dining chain wide.,2518 West Broadway Vancouver BC
White Spot (Guilford),This White Spot is located in the Guilford area of Surrey.,10181 152nd Street Surrey BC
White Spot (Delta),This White Spot location is near Scott and 72nd in Delta.,7207 120st Street Delta BC
Jan's on the Beach,White Rock's newest restaurant offering West Coast Inspired dishes!,14989 Marine Drive White Rock BC
The Foundation,Funky yet casual The Foundation is well known to almost every vegetarian on Main St. and offers a mouth-watering variety of contemporary dishes.,2301 Main St. Vancouver BC
Nagano Japanese Restaurant,Dine in sushi bar and take out. Open late at night.,120-2918 Glen Drive Coquitlam BC
Sliced Tomatoes (CLOSED),A new delivery service that provides home cooking without the shopping and chopping.,1428 Vernon Dr. Vancouver BC
CRAVE Restaurant,Vancouver's new darling on Main.,3941 Main Street Vancouver BC
Doux Crepes,Friendly neighbourhood cafe serving gourmet crepes and fine Italian coffee.,1371 Richards St Vancouver BC
Cafe Express & Gelato,Friendly neighborhood cafe has some of the best sandwiches and crepes in town.,402 West 8th Ave Vancouver BC
Cafe Crepe on Robson,When on Robson and you have a craving for crepes you must go to Cafe Crepe.,1032 Robson St. Vancouver BC
Travelling Gourmet,Caters gourmet parties in the comfort of your own home.,235 Keith Road West Vancouver BC
Doux Crepes (Kerrisdale),Great location for people watching.,2277 West 41st Avenue Vancouver BC
Vie de Paris - Restaurant Cafe,Experience a taste of France in downtown Vancouver,140-757 W. Hastings St. (Sinclair Centre) Vancouver BC
Ama Bistrot,Community cafe featuring crepes fresh made soups salads sandwiches and Italian gelato.,4544 West 10th. ave Vancouver BC
Le Bistro Chez Michel,Voted best french restauant by local readers for 10 years.,224 West Esplanade Avenue North Vancouver BC
The Swiss Gourmet Restaurant,Harrison's gastronomic delight and sandcastle watching.,270 Esplanade Avenue Harrison Hot Springs B.C.
Shaktea,Premium tea for your enjoyment. Perfect after a tough day of shopping on Main St.,3702 Main Street Vancouver BC
EBO Restaurant,East of Boundary where local ingredients find a fresh direction. Experience new boundaries at EBO.,4331 Dominon Street Burnaby BC
The William Tell (CLOSED),Renowed for fine dining warm and friendly atmosphere impeccable service.,765 Beatty Street Vancouver BC
Chai Gallery,The best chai is always characterized by an ingenious blend of spices of different colors aromas and flavors and is an age-old tradition found throughout the countries along the silk road. By representing balance relaxation and unity in diversity it is our namesake as well as an expanded metaphor for our business philosophy.,3243 W. Broadway Vancouver BC
Romer's Burger Bar,Beyond the Ordinary,1873 West 4th Ave. Vancouver BC
Colony,The go-to spot in Kitsilano for casual drinks dinner live comedy trivia and all major sporting events,3255 W Broadway Vancouver BC
Mona's Beirut Express,Middle Eastern take out on West Broadway.,806 West Broadway Vancouver BC
Greektus Mediterranean Restaurant,,Unit # 5-701 Kingsway Vancouver bc
Ambrozia Restaurant and Lounge (CLOSED),Ambrozia is about FUN dining and entertainment the place to have a party.,200 - 911 Denman street Vancouver BC
Ali Food,Ali food is the place for fresh global dishes.,1696 Douglas Street Victoria BC
Holy Falafel & Shawarma House,Bringing the 'Donair' into This Millennium,Unit E - 26426 56th Avenue Langley BC
East is East,Taking pride in the unique identity of each dish every menu item has a special name that will linger in your mind long after your taste-buds have had their fill.,3243 W. Broadway Vancouver BC
Michi Waffle & Espresso,For waffles and espresso Michi is the place.,1319 Robson Street Vancouver BC
The District,A sexy comfortable room serving amazing food in north van..really!,13 Lonsdale Avenue North Vancouver BC
Biercraft (Cambie),Second location of this Belgian beer themed chain.,3305 Cambie Street Vancouver BC
SIP resto-lounge,Located on Granville St and now with The Refinery above. Choose between either for food and fun.,1117 Granville Street Vancouver BC
Fish on Rice,Japanese all-you-can-eat buffet located near Metrotown. Offers great selection and above-par quality.,201-4361 Kingsway Burnaby BC
Jun Sushi,A tiny Japanese restaurant with big value.,4940 No. 3 Road Richmond BC
Tataya Sushi (CLOSED),Small Japanese restaurant offers delivery and all-you-can-eat sushi buffet at rock-bottom prices.,6714 Hastings (at Sperling) Burnaby BC
India Bistro,Don't call us just walk-in and enjoy the fun of eating Indian bistro style.,1157 Davie Street Vancouver BC
Boathouse Restaurant (West Vancouver),Situated in West Vancouver's picturesque Horseshoe Bay a five minute walk from the BC Ferries terminal and overlooking Sewell’s Marina.,6695 Nelson Avenue West Vancouver BC
Boathouse Restaurant (English Bay),Offering Vancouver's most coveted westcoast views -- enjoy a year-round heated deck neighbourhood waterfront pub and a panoramic view from the dining room as you watch the action on the famous English Bay Beach.,1795 Beach Avenue Vancouver BC
Siena Restaurant,Siena is the second restaurant from Mark Taylor owner of CRU. Great reviews so far.,1485 West 12th Ave Vancouver BC
MacKinnon's Bakery (CLOSED),When you looking for that bakery treat to go with your long day of shopping this is the place.,2715 Granville Street Vancouver BC
Wrap Zone,Get into the zone for a good wrap.,2566 Granville Street Vancouver
Starbucks (Granville and Broadway),Great coffee and atmosphere chain wide.,2960 Granville Street Vancouver
Starbucks (Granville near 11th),After shopping or before you receive your boost of energy Starbucks is always there for you.,2505 Granville Street Vancouver BC
CRU Restaurant (CLOSED),A relaxed sexy critically-acclaimed restaurant.,1459 West Broadway Vancouver BC
Heirloom Vegetarian,Heirloom Restaurant reflects dedication by using thoughtfully chosen organic fairly traded ingredients with a local and world conscious initiative - We make good choices.,1509 West 12th Avenue Vancouver British Columbia
Bizou Bistro,Global cuisine is the emphasis of this nice little bistro.,2666 Granville Street Vancouver
Blenz Coffee (Granville and Broadway),While your shopping on Granville or Broadway Blenz is a great place to stop for a coffee.,2506 Granville Street Vancouver BC
Provence Marinaside,A great place to entertain visitors or locals. If the sun is the shining the patio is the place to be.,1177 Marinaside Crescent Vancouver BC
glowbal catering,The glowbal catering group is known for its excellent cuisine and service.,401-1250 Homer Street Vancouver BC
Cafe Medina,From the creators of Chambar this breakfast spot will sure to be a hit with the locals.,556 Beatty Street Vancouver BC
White Spot (Lougheed Highway),This White Spot location is in Coquitlam on Lougheed Highway.,500-3025 Lougheed Hwy Coquitlam BC
Century Restaurant,A Latin themed restaurant located in a beautiful heritiage building.,432 Richards St Vancouver BC
Havana,,1212 Commercial Dr. Vancouver British Columbia
Displace Hashery,We are a hip new Beach Bar in Kitsilano! Come check out our SW facing patio and our beers from around the world.,3293 West 4th Ave Vancouver British Columbia
Healthee: Tasty Food Fast (CLOSED),Healthee: Tasty Food Fast - Chopped Salad Bar Healthee Bagel Bar Soup and Chili Bar,2277 West 41st Avenue Vancouver BC
The Wedding Yacht,Fresh local sustainable West Coast cuisine prepared in-house,#28- 1601 Bayshore Drive Vancouver BC
Nathan's Grill (CLOSED),Burnaby's top destination for cuisine and drinks!,6390 Darnley Street Burnaby BC
Culinary Choreography,Culinary Choreography provides various culinary delights just for you. Catering only.,1876 West 13th ave. Vancouver BC
The Specialty Gourmet,The Specialty Gourmet provides fresh nutritious meals delivered daily to your door.,390-885 Dunsmuir St Vancouver BC
Abyssinia Ethiopian Restaurant Inc.,Is popular for its gluten free and high iron bread.,7546 Edmonds Street Burnaby British Columbia
The Diner (Closed),Great dessert at Yaletown's diner-style restaurant.,1269 Hamilton Street Vancouver BC
Moderne Burger,Deluxe take-out with burgers being their speciality.,2507 West Broadway Vancouver BC
Thai House Restaurant (Richmond),Best Asian Restaurant Award for 7 years in a row. Drop by and see why.,129-4940 No. 3 Road Richmond BC
Juicy Lucy's (CLOSED),Whether you're seeking an energy boost or simply a great vegetarian breakfast Juicy Lucy's is the place to hit for the health-conscious customer.,1420 Commercial Dr. Vancouver BC
Red Sea Cafe,Authentic North African cuisine in this Eritrean / Ethiopian restaurant.,670 East Broadway Vancouver BC
Nando's Flame-Grilled Chicken (West Vancouver),Located in West Vancouver this Nando's will lead your taste buds on a journey from Africa to Portugal.,590 Park Royal North West Vancouver BC
Nando's Flame-Grilled Chicken (Langford),Located in Langford this Nando's will lead your taste buds on a journey from Africa to Portugal.,2401C Millstream Road Langford BC
Nando's Flame-Grilled Chicken (Metropolis),Located in the Metropolis mall this Nando's will lead your taste buds on a journey from Africa to Portugal.,4820 Kingsway Burnaby BC
Nando's Flame-Grilled Chicken (North Vancouver),Located in North Vancouver this Nando's will lead your taste buds on a journey from Africa to Portugal.,1301 Lonsdale Ave North Vancouver BC
Nando's Flame-Grilled Chicken (Davie & Howe),Located on the corner of Davie & Howe this Nando's will lead your taste buds on a journey from Africa to Portugal.,828 Davie Street (Corner of Howe) Vancouver BC
Nando's Flame-Grilled Chicken (Kerrisdale),Located in Kerrisdale this Nando's will lead your taste buds on a journey from Africa to Portugal.,2064 West 41st Avenue Vancouver BC
Nando's Flame-Grilled Chicken (Burnaby-South),Located in South Burnaby this Nando's will lead your taste buds on a journey from Africa to Portugal.,5761 Marine Way Burnaby BC
Nyala African Cuisine (CLOSED),Established over 20 years ago Nyala is the place in Vancouver to go for Africian cuisine.,4148 Main Street Vancouver BC
Garden Terrace is now the YEW restaurant + bar.,Please go to the YEW restaurant + bar listing.,791 West Georgia Street Vancouver BC
Tim Hortons (Metrotown),Drop by for a donut and a sandwich.,4700 Kingsway Burnaby BC
West Coast Bagel & Deli,Nice deli on Lonsdale.,1827 Lonsdale Ave North Vancouver BC
Solly's Bakery,Great chain of Jewish bakeries. This one is located on Broadway.,2873 West Broadway Vancouver BC
Trees Organic Coffee in Richmond,Quality coffee 100% organic always fair-trade.,7700 Minoru Gate Richmond BC
Coffee a go go,Drop by for a coffee or a wrap..,829 Davie street Vancouver bc
I Love Bagel Inc,The original bagel place in North Vancouver.,105 East 12th Street North Vancouver BC
The Buzz Cafe and Espresso Bar,Harrison Galleries: Where great art and coffee meet.,901 Homer Street Vancouver bc
The Edge Cafe,Upscale neighborhood cafe - independently operated and community focused.,2450 Yukon Street Vancouver BC
Rangoon,South East Asian and World cuisine dishes served in a pleasant decor.,1602 Yew street Vancouver BC
Burgers Etc. BBQ House,More than just burgers. It has great pulled pork and other tatsy dishes.,4091 Hastings Street Burnaby BC
Peckinpah Restaurant,The owner of Cobre and Deacon's Corner has created a bbq joint in Gastown for your dining pleasure.,2 Water Street Vancouver BC
Memphis Blues Barbeque House,Award winning authentic Southern barbecue located on Commercial Drive.,1342 Commercial Drive Vancouver BC
Montana’s Cookhouse (Coquitlam Centre Mall),The Coquitlam location of this popular Montana's Cookhouse chain.,2929 Barnet Highway Coquitlam BC
Dix Barbecue and Brewery (CLOSED),Drop by for a beer and some barbecue.,871 Beatty Street Vancouver BC
Enigma Restaurant,A great place for excellent cuisine on the West side of Vancouver.,4397 West 10th Avenue Vancouver BC
Nevermind (CLOSED),Located in Kitsilano Nevermind is a fun place to watch a game have a drink and eat.,3293 West Fourth Avenue. Vancouver BC
The Parker,Beautifully Vegetarian.,237 Union St. Vancouver BC
Pourhouse Restaurant,Embracing the sublime pleasure of drink the joy of good food and the comfort of family.,162 Water Street Vancouver BC
Quiznos Sub (North Vancouver),,201-1199 Lynn Valley Rd North Vancouver BC
A & W (Sinclair Center),Tired from shopping at Sinclair Center? Drop by A&W for a root beer and a burger.,757 West Hastings St  BC
MMMuffins (Brentwood),Drop by and try one of our delicious muffins.,4567 Lougheed Hwy Burnaby BC
A&W (Lansdowne),Drop by the food court for a mama or papa burger.,5300 No 3 Road Richmond BC
Shogun (Lansdowne),Drop by the food court for the shogun experience.,5300 No 3 Road Richmond BC
Benton Brothers Fine Cheese,Located on the West Side is one of Vancouver's best new Cheese shops.,2104 West 41st Ave Vancouver BC
Meinhardt Fine Foods (Arbutus) (CLOSED),Gourmet food retailer with ready-to-go meals patio and coffee bar.,3151 Arbutus Street Vancouver BC
Mariano's Restaurant,Cozy fast food restaurant offering traditional and specialty Filipino cuisine,15282 Fraser Hwy Surrey BC
Meinhardt Fine Foods (Granville),The first location is located on Granville St and the new location is on Arbutus.,3002 Granville Street Vancouver BC
Fujiya Japanese Foods in Richmond,Everything for your Japanese catering needs.,3086 Saint Edwards Dr. Richmond BC
Ezogiku Noodle Cafe,Enjoy hearty steaming bowls of Ramen soup with tons of fresh ingredients.,1329 Robson Street Vancouver BC
The Red Wagon,The Red Dragon has a loyal following who line up for menu items like the Pulled Pork Pancakes and Grilled Cheese with Smokey tomato soup.,2296 East Hastings Street Vancouver BC
Riverway Clubhouse Restaurant,Burnaby's Brand New State-of-Art Restaurant,9001 Bill Fox Way Burnaby BC
Ouisi Bistro,New Orleans restaurant with Cajun and Creole cooking.,3014 Granville St. Vancouver BC
The Savoury Chef,Located in Vancouver The Savoury Chef supply personal chef services.,#306-2050 Scotia Street Vancouver BC
Barkley's,Barkley's is the place for a romantic meal or family event.,777 Douglas Street Victoria BC
De Dutch Pannekok House (Carlton Plaza),Unique and delectable breakfast brunch & lunch meals.,642 Johnson Street Victoria BC
The Lazy Gourmet,Imagine taste enjoy,1605 West 5th Ave Vancouver British Columbia
Libra Room,The Libra Room is located on Commercial Drive and is known for its jazz and cuisine,1608 Commercial Drive Vancouver BC
Milestones Grill & Bar (Victoria),Spend an afternoon with friends trying some of our innovative food and cocktails.,812 Wharf Street Victoria BC
Calabash Bistro,Calabash Bistro is a vessel that supports authentic Caribbean food drink art and music.,428 Carral St. Vancouver BC
Caribbean Hut Express (CLOSED),Relax and have a coffee while your waiting to catch your bus to SFU.,4530 Hastings Street Burnaby BC
The Reef,The popular spot expands to Commercial Drive where you can find Caribbean cuisine served in a warm island atmosphere.,1018 Commercial Drive Vancouver BC
Vera's Burger Shack (Cloverdale),Vera's Burger Shack expands to Cloverdale.,129-17449 Highway 10 Cloverdale BC
La Belle Auberge,Bruno Marti's award winning restaurant serving top notch cuisine.,4856 48th Avenue Delta BC
The Salmon House,City sights from up high and fare to match.,2229 Folkestone Way West Vancouver BC
Beach House at Dundarave Pier,Fine casual dining on the beach front in West Vancouver.,150 - 25th Street West Vancouver BC
Blue Eyed Marys,Now located in West Vancouver.,1735 Marine Dr. West Vancouver. Bowen Island BC
Kin Sushi,No-frills value-conscious sushi.,113 - 1760 Marine Drive West Vancouver BC
Beach Side Cafe (CLOSED),An elegant room with an atmosphere as casual as its name.,1362 Marine Drive West Vancouver BC
Restaurant Chez Michel,Great spot for lunch or dinner on Marine Drive.,1373 Marine Drive (second floor) Vancouver BC
Boathouse Restaurant (White Rock),Boathouse White Rock is located in the center of this popular seaside community with a great view of Semiahmoo Bay and the Gulf Islands.,14935 Marine Drive White Rock BC
Slainte By the Pier,Contemporary Irish Restaurant and Bar offering great service and food with a view to match.,15057 Marine Drive White Rock B.C.
Edo Japan,Fast Casual/Quick Service Japanese food,3041 152 Street White Rock BC
Senses Fusion Cuisine,Newest trendiest fusion tapas cuisine on the beach.,14981 Marine Drive White Rock BC
Pearl on the Rock,Pearl in the Rock is an award winning contemporary restaurant that serves Pacific Northwest Cuisine.,14955 Marine Dr. White Rock BC
Iguanas Beach Grill,The Iguanas Beach Grill is located in White Rock,14985 Marine Drive White Rock BC
Nando's Flame-Grilled Chicken (White Rock),Located in White Rock this Nando's will lead your taste buds on a journey from Africa to Portugal.,3010 152nd Street (South Point Annex) White Rock BC
The Pear Tree Restaurant,Comfortable yet elegant dining to perfection.,4120 E Hastings Street Burnaby BC
Balilicious Modern Indonesian (Formerly Sate' Satu),Indonesian modern authentic sauces made from scratch,3488 Cambie Street Vancouver BC
Serenity Natural and Organic Foods (CLOSED),A down to Earth place with friendly helpful staff and mouth watering food from around the world. A little jewel of a deli-cafe for those with gluten wheat and lactose intolerances.,3347 W.4th Ave. Vancouver BC
Gee! Taste Good Cafe (CLOSED),A Southeast Asian specialty Cafe that you need to explore and try.,2-581 Clarke Road Coquitlam BC
White Spot (No 3 Road),This White Spot is located near Ackroyd on No 3 Road.,5880 No 3 Road Richmond BC
Boathouse Restaurant (Richmond),Boathouse Richmond is just minutes from YVR airport nestled between the two airport access bridges with a view of the river and marina.,8331 River Road Richmond BC
Allie's American Grille at the Marriott Hotel,Hotel dining in the heart of Richmond.,7571 Westminster Highway Richmond BC
Cafe D'Afrique,Cafe D’Afrique is a new Ethiopian restaurant that serves a diverse variety of dishes from many parts of Africa.,363 East Broadway Vancouver British Columbia
Laziza Modern Mediterranean,Vancouver's Newest Modern Mediterranean Restaurant,1175 Davie Street Vancouver BC
Indishpensable,Fine-dining meals that you make at home!,2779 Arbutus Street Vancouver BC
Le Marrakech Moroccan Bistro (CLOSED),Stop by this new gastown restaurant for a Moroccan culinary experience.,52 Alexander St Vancouver BC
Zanzibar Cafe (CLOSED),A relatively new Moroccan cafe with affordable lunch options.,1851 Commercial Dr. Vancouver BC
Best Falafel,Serves up the best tasting falafal on the Drive.,2013 Commercial Dr. Vancouver BC
The New Bohemian,A sassy new Restaurant / Bar in Vancouver with tasty martinis and global comfort food!,3162 West Broadway Vancouver BC
The Main,A fun hangout with great Greek and southern Mediterranean cuisine offering live music in the evenings.,4210 Main St. Vancouver BC
Banana Leaf,Malayasian cuisine now in three locations.,820 West Broadway Vancouver BC
Thai House Restaurant (Kitsilano),Come on in and try this award winning Thai restaurant in Kits,1766 W. 7th Avenue Vancouver BC
Banana Leaf (Denman Street),Looking for Malayasian cuisine in the West End? Then Banana Leaf is the place for you.,1096 Denman St Vancouver BC
Summer Night Market (Richmond),The (Richmond) Summer Night Market is an annual event open May 13th 2011 to late summer. The Summer Night Market is filled with numerous types of Asian cuisine.,12631 Vulcan Way Richmond BC
Tamarind Hill Malaysian Cuisine,High ceiling unique decor authentic Malaysian food and great service.,628 6th Avenue New Westminster BC
Kayan Mediterranean Cuisine,Authentic Lebanese Cuisine.,777 W. Broadway Vancouver BC
Latin Quarter (Closed),Award-winning Latin American food with an excellent selection of tapas and wines.,1305 Commercial Dr. Vancouver British Columbia
CHICAS latin heritage foods,An unique experience of tasty and fresh Mexican and Latino meals in South Vancouver.,8722 Granville Street Vancouver BC
LK Dining Lounge (CLOSED),Market-driven New World flavours in an airy modern space.,1265 Hamilton Street Vancouver BC
Rinconcito Salvadoreno Restaurant,,2062 Commercial Dr. Vancouver British Columbia
Maple Grill,Kosher food meets modern cuisine in a fusion of new flavours that is brand new to Vancouver.,1967 West Broadway Vancouver British Columbia
Red Rooster Fried Broasted Chicken,Serving mouth watering chicken broast Pizza Wings & Burgers.,4119 No. 5 Road Richmond Richmond
Phat Restaurant,Great place for breakfast or lunch on the patio.,1055 Mainland Street Vancouver BC
Shamrock Alley,Authentically Irish with great cheer!,102-1184 Denman Street Vancouver BC
Salty Tongue Urban Deli,Drop by for your taste of the Irish deli specials. Opening soon in new location.,212 Carrall Street Vancouver BC
Shenanigans,A commodious Irish-style bar off Robson great for large parties.,1225 Robson St. Vancouver British Columbia
Doolin's Irish Pub,Drop by Doolin's for drink and fun.,654 Nelson Street Vancouver BC
The Irish Heather,Perfect spot for when you crave Irish cuisine. Now open in new their spot 212 Carrall Street.,212 Carrall Street Vancouver BC
Dentry's Irish Grill,Friendly neighborhood pub located on the West Side of Vancouver.,4450 West 10th Avenue Vancouver BC
Chomp Vegan Eatery,Vegan and gluten-free eatery in Port Moody!,#7-201 Morrissey Road Port Moody BC
Sultri Restaurant (Closed),New high end Restaurant and Piano Lounge in the Port Moody dining scene.,50 Queens St Port Moody BC
Vera's Burger Shack (Port Moody),Vera's Port Moody is one of the newest location that serves award winning burgers.,254A Newport Drive Port Moody BC
Little Thailand Restaurant & Grill,Delicious real thai food.,2335 St Johns Street Port Moody B.C
Calvin's Cafe,If you wish drop by for all three meals.,2452 Marine Drive Vancouver BC
Grilled Fromage,The only diner in Canada to soley focus on the main comfort food the grilled cheese!,38134 Cleveland Avenue Squamish BC
Blueberry frozen yogurt,Blueberry Frozen Yogurt is a treat wwaiting for you to try.,1703 ROBSON STREET Vancouver BC
Capstone Tea & Fondue,A trendy new stop for tea & all-you-can-eat fondue on Robson.,1429 Robson St. Vancouver British Columbia
The Budapest (CLOSED) please see DANUBE,Small and warm The Budapest offers great value on 'huge' traditionally-sized portions.,3250 Main St. Vancouver British Columbia
Dairy Queen,Everyday is a BLIZZARD day.,8151 Anderson Road Richmond BC
The Sin Bin,The Sin Bin on 2nd Ave is a sports bar ready to tackle your hunger.,295 W 2nd Ave Vancouver BC
Falconetti's,Falconetti's serves up homestyle additive-free sausages of all varieties.,1812 Commercial Dr. Vancouver British Columbia
A&W Restaurant (Metrotown Mall),Perfect place for a snack while power shopping.,142 - 4800 Kingsway (Metrotown Centre) Burnaby BC
Axum Ethiopian Restaurant,The best Ethiopian Spicy Food from the cradle of civilization.,1279 East Hastings Street Vancouver BC
Lalibela Ethiopian Restaurant,We offer the best vegetarian & non vegetarian Ethiopian dishes.,4530 E. Hastings Street Burnaby BC
Harambe Ethiopian Cuisine,,2149 Commercial Dr. Vancouver British Columbia
Bitter Tasting Room,Bitter is created by Sean Heather who also owns six other establishments in Vancouver.,16 W. Hastings Street Vancouver BC
Marmalade Kitchen and Bar,Great views for this taste of London.,1010 Beach Avenue Vancouver BC
Cheshire Cheese Inn,Come by on game night.,5645 West Blvd Vancouver
